country,program_name,agency,funding_min,funding_max,currency,equity_required,duration_months,focus_areas,website,api_available,application_status_2026,notes
USA,SBIR Phase I,Multiple Federal Agencies,0,305000,USD,No,6-18,All tech sectors,https://www.sbir.gov/,Yes,Some programs paused,Non-dilutive; NSF temporarily paused
USA,SBIR Phase II,Multiple Federal Agencies,0,2095748,USD,No,24,All tech sectors,https://www.sbir.gov/,Yes,Some programs paused,Non-dilutive; NSF temporarily paused
USA,NSF SBIR/STTR,National Science Foundation,0,305000,USD,No,6-18,Deep tech,https://seedfund.nsf.gov/,Yes,Temporarily paused,America's Seed Fund
Canada,NRC IRAP,National Research Council,0,10000000,CAD,No,Varies,Technology innovation,https://nrc.canada.ca/en/support-technology-innovation,No,Active,60-80% cost coverage
Canada,NRC IRAP Clean Tech,National Research Council,0,10000000,CAD,No,Varies,Clean technology,https://nrc.canada.ca/en/support-technology-innovation,No,Active,Accelerates cleantech development
EU,EIC Accelerator Open,European Innovation Council,0,10000000,EUR,Optional,Varies,All tech,https://eic.ec.europa.eu/,No,Active,€384M budget 2026
EU,EIC Accelerator Challenges,European Innovation Council,0,2500000,EUR,No,Varies,Strategic tech,https://eic.ec.europa.eu/,No,Active,€220M budget 2026
EU,EIC Pathfinder,European Innovation Council,0,4000000,EUR,No,Varies,Research teams,https://eic.ec.europa.eu/,No,Active,€362M budget 2026
EU,Horizon Europe AI,European Commission,0,221000000,EUR,No,Varies,AI & digital tech,https://eismea.ec.europa.eu/,No,Active,Deadline April 15 2026
EU,EIT InnoEnergy,European Institute of Innovation,0,2000000,EUR,Co-investment,Varies,Sustainable energy,https://www.innoenergy.com/,No,Active,500+ industry partners
UK,Innovate UK Growth Catalyst,Innovate UK,0,900000,GBP,Some,Varies,Late-stage innovation,https://www.ukri.org/councils/innovate-uk/,No,Active,Grant + private investment
UK,CyberASAP Programme,DSIT,Varies,Varies,GBP,No,48,Cyber security,https://www.ncsc.gov.uk/,No,Active,£10M over 4 years
UK,Smart Grants - Quantum,Innovate UK,0,3000000,GBP,No,Varies,Quantum tech,https://apply-for-innovation-funding.service.gov.uk/,No,Active,Competition-based
