university,startup_name,description,website,is_ai_related,ai_confidence_score,source
Stanford (StartX),1Bstories,,,False,0.0,StartX
Stanford (StartX),1Climate,,https://1climate.app/,False,0.0,StartX
Stanford (StartX),1upLogo,,,False,0.0,StartX
Stanford (StartX),2RedBeans,,http://www.2redbeans.com/en/chinese-dating/,False,0.0,StartX
Stanford (StartX),3YOURMIND,Increase supply chain flexibility and reduce inventories by finding and producing parts when they're needed with software for on-demand manufacturing.,http://3yourmind.com/,False,0.0,StartX
Stanford (StartX),AccuraGen,AccuraGen uniquely employs rolling-circle amplification to perform consensus-based concatemer error correction. The fundamental of our technology ensures a high conversion rate and minimizes the proliferations of errors.  We optimized our assay to detect a breadth of genetic alterations with a sensitivity approaching the physical limit and a specificity as much as 100x better than benchmark.,http://www.accuragen.com/,False,0.0,StartX
Stanford (StartX),Advent Access,Own this domain today. We make your shopping experience easy. Friendly and quick customer service.,http://adventaccess.com,False,0.0,StartX
Stanford (StartX),AerialIntel,,http://www.aerialintel.com/,False,0.0,StartX
Stanford (StartX),aether,Aether Biomedical is a medical robotics company making bionics accessible to all. We aim to deliver medical devices engineered to exceed global standards.,https://www.aetherbiomedical.com,False,0.0,StartX
Stanford (StartX),afresh,"Unify fresh replenishment, production planning, inventory management, and DC forecasting in one intelligent platform. Built for scale, designed for precision, and proven to maximize freshness, profits, and reduce food waste.",http://afreshtechnologies.com/,False,0.0,StartX
Stanford (StartX),Agathos,"Together, EvidenceCare and Agathos will address one of healthcare’s biggest challenges: reducing unwarranted clinical variation.",https://www.agathos.io,False,0.0,StartX
Stanford (StartX),AgriWebb,"Livestock management software for farmers and ranchers ready to move forward. Run your most profitable, efficient and sustainable business.",http://www.agriwebb.com/,False,0.0,StartX
Stanford (StartX),AiFi,AiFi is the largest Spatial Intelligence platform giving businesses a full understanding of their physical space with computer vision.,http://www.aifi.com,True,0.2,StartX
Stanford (StartX),Akoya Biosciences,"Our revolutionary biomarker testing technology, Simoa®, is helping researchers advance the science of precision health. Learn more!",http://www.akoyabio.com,False,0.0,StartX
Stanford (StartX),Alariss,,https://www.alariss.com/,False,0.0,StartX
Stanford (StartX),Alation,"Alation is an agentic data intelligence platform and knowledge layer that helps teams find, govern, and trust data—powering reliable AI and analytics.",https://alation.com/,True,0.4,StartX
Stanford (StartX),Alchemy WorkInTech,Powered by nanotechnology. We design ready-to-use solutions from the nanoscale up.,https://www.alchemynano.com,False,0.0,StartX
Stanford (StartX),Alchemy,"Whether you're a large enterprise or a startup, Alchemy makes building onchain easy.",https://alchemy.com,False,0.0,StartX
Stanford (StartX),Alertive,Increase your clinic's revenue and improve patient outcomes with CoachCare's virtual health and remote patient monitoring software. Get started today.,http://www.alertive.com,False,0.0,StartX
Stanford (StartX),Alesca Life,,https://www.alescalife.com/,False,0.0,StartX
Stanford (StartX),ALICE,"ALICE is a construction project schedule optimization software that enables contractors and owners to optimize, de-risk and recover construction projects with AI.",http://alicetechnologies.com/,True,0.2,StartX
Stanford (StartX),Alixia,Targeting the Tumor Ecosystem to address cancer drug resistance and improve patients’ lives,http://www.alixia.com,False,0.0,StartX
Stanford (StartX),Spray All Day Energy,"ALLDAY Energy Spray delivers clean, ultra-concentrated caffeine without all the junk. Bringing you optimal energy in every spray. ⚡️5x faster ⚡️ than energy drinks or coffee* Spray, don’t sip!",https://sprayalldayenergy.com/,False,0.0,StartX
Stanford (StartX),Ambient,"Ambient.ai is transforming physical security with computer vision intelligence, empowering security teams with automated threat detection and visual verification.",http://ambient.ai/,True,0.4,StartX
Stanford (StartX),amigocloud,,https://www.amigocloud.com/homepage/index,False,0.0,StartX
Stanford (StartX),Ampervue,Get a new domain name for your startup. Quick and professional service. Seamless domain transfers.,http://www.ampervue.com,False,0.0,StartX
Stanford (StartX),anchorzero,,,False,0.0,StartX
Stanford (StartX),Andromeda Surgical,Empowering surgeons with autonomous precision,http://andromedasurgical.com,True,0.2,StartX
Stanford (StartX),Angaza,Angaza technology empowers last-mile distributors to make life-changing products accessible and affordable to consumers anywhere in the world,http://www.angazadesign.com,False,0.0,StartX
Stanford (StartX),Anifie,"In Slack and Discord, chat panels open when users click #channels. In Anifie, chat panels open when you click multimedia content such as videos, photos, and design. You can chat while looking at multimedia content.",http://www.anifie.com,False,0.0,StartX
Stanford (StartX),Apostle Bio,Apostle,http://apostlebio.com,False,0.0,StartX
Stanford (StartX),Appfluence,Priority Matrix helps managers focus on high-impact work. Easy-to-use Project and Priority Management Software. Try it Free!,https://appfluence.com/,False,0.0,StartX
Stanford (StartX),apptimize,"Airship is the only mobile-first customer experience platform that delivers measurable results through AI-powered, unified cross-channel experiences.",https://www.apptimize.com,True,0.4,StartX
Stanford (StartX),apstem,Unlocking dormant regenerative code to rebuild what chronic disease takes away.,https://www.apstemtx.com/,False,0.0,StartX
Stanford (StartX),Arboreal AI,The ADHD-friendly AI partner for building habits,https://arboreal.ai/,True,0.2,StartX
