startup_name,batch,source,is_stealth_mode,stealth_indicators,data_completeness_score,website,page_title,contact_email,description,is_ai_related,ai_confidence_score,linkedin,twitter,github
Vom,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.4,https://vom.com,Valley of the Moon,webmaster@vom.com,,,,,,
VoiceBit,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://voicebit.com,,,,,,,,
SplitSecure,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://splitsecure.com,SplitSecure | Enterprise Security Without Single Points of Failure,,"SplitSecure protects sensitive accounts with no single point of failure. Easy setup, seamless access, and enterprise-grade security that just works.",False,0.0,,,
Scam AI,Unknown,Berkeley SkyDeck,False,no_social_media,0.65,https://scamai.com,WebVetted – Instant Due Diligence for Everything Online | WebVetted,support@webvetted.com,"WebVetted checks websites, social profiles, businesses, vehicles, listings, jobs, and more—so you don’t get scammed. Verify before you trust.",False,0.0,,,
Satsurance,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://satsurance.com,,,,,,,,
Rescope,Unknown,Berkeley SkyDeck,False,no_social_media,0.65,https://rescope.co,Rescope - Zoning & Building Permit Automation,altan@rescope.co,"Automate permits. Accelerate builds. Rescope helps contractors, architects, and developers navigate zoning codes and building permits faster.",False,0.0,,,
ReIGNITE Therapeutics Inc,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
PYRAMYD,Unknown,Berkeley SkyDeck,False,,0.9,https://pyramyd.com,PYRAMYD - Formation professionnelle et continue - Organisme de formation,serviceclient@abilways.com,"Pyramyd forme depuis 30 ans les professionnels de la communication visuelle, du design et de la création digitale et print..",False,0.0,https://www.linkedin.com/company/pyramyd-ntcv/,https://twitter.com/pyramydntcv,
Ludwig Computing,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.4,https://ludwigcomputing.com,Home | Ludwig Computing,info@ludwigcomputing.com,,,,,,
Hominy AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Gheek AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Flexify AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Flatlight,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://flatlight.tech,Page par défaut,,,,,,,
Drover Labs,Unknown,Berkeley SkyDeck,False,no_social_media,0.65,https://droverlabs.com,Drover: A Custom Web and Mobile Application Development Team.,team@droverlabs.com,"React, React Native, and GraphQL specialists. What can we build together?",False,0.0,,,
DeepTrail Inc,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Code Blue AI,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://codeblueai.com,,,,,,,,
CipherSonic Labs,Unknown,Berkeley SkyDeck,False,no_description,0.65,https://ciphersoniclabs.ai,CipherSonic Labs | Enabling End-to-End Security in Cloud Computing using Fully Homomorphic Encryption,logo-dark@2x.png,,,,https://www.linkedin.com/company/ciphersonic-labs-inc/,https://www.x.com/ciphersoniclabs,
April,Unknown,Berkeley SkyDeck,False,,0.7,https://april.com,L’assurance en plus facile - Groupe APRIL,,"Leader du courtage grossiste en France, APRIL est implanté dans 18 pays dans le monde. Découvrez notre groupe !",False,0.0,https://www.linkedin.com/company/april-assurances/,,
Trag,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Soula,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://soula.co,,,,,,,,
OpenGrant,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://opengrant.com,,,,,,,,
Flux Robotics,Unknown,Berkeley SkyDeck,False,no_description,0.55,https://fluxrobotics.ai,fluxrobotics.ai,,,,,https://www.linkedin.com/company/fluxrobotics,https://x.com/flux_robotics,
DT Master Carbon,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Drill Surgeries,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://drillsurgeries.com,CLARO Surgical - XR and AI for orthopaedics,,CLARO Surgical - XR and AI for orthopaedics,True,0.2,,,
Daspren,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://daspren.com,Daspren - Master every data access,,"Daspren centralizes usage mapping, data classification, and active data control for complete real-time protection.",False,0.0,,,
Darween Bioscience,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
CloEE,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://cloee.ai,CloEE - Industrial AI Platform,,,,,,,
Cyphra Autonomy,Unknown,Berkeley SkyDeck,False,no_social_media,0.65,https://cyphra-autonomy.com,Robotic Construction Haulers  | Cyphra Autonomy,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"Cyphra Autonomy makes construction operations safer, more efficient and faster with our material moving robots",False,0.0,,,
Quotr,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://quotr.io,Quotr - AI Construction Estimation & Takeoff Software,,"AI-powered construction estimation with 90% faster takeoffs, 95% accuracy, and 40-50% material savings. Built for subcontractors, general contractors, and developers.",True,0.4,,,
EMOBOT,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://emobot.com,,,,,,,,
D.Sole,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://dsole.com,,,,,,,,
Light Links,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://lightlinks.io,lightlinks.io,,,,,,,
Kelvin Cooling,Unknown,Berkeley SkyDeck,False,no_social_media,0.65,https://kelvincooling.com,Kelvin Cooling,richard@kelvincooling.com,"Best Cooling Solution For


				Data Center			

				HPC			

				Edge Computing			

				AI",True,0.2,,,
Rhea's Factory,Unknown,Berkeley SkyDeck,False,no_description,0.55,https://rheasfactory.com,Rhea's Factory,user@domain.com,,,,https://www.linkedin.com/company/rheasfactory,,
Outer Rim Exploration,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Bicameral,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://bicameral.ai,Bicameral – Two becoming one…,,,,,,,
Selfr,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://selfr.com,who are you?,,,,,,,
MetaLearner,Unknown,Berkeley SkyDeck,False,,0.8,https://metalearner.ai,MetaLearner,hello@metalearner.ai,"Get Answers to Your Questions in Minutes, Not Weeks",False,0.0,https://www.linkedin.com/company/metalearner-ai,,
Guepard,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://guepard.io,,,,,,,,
Greybeam,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://greybeam.com,,,,,,,,
Greaten AI,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://greatenai.com,,,,,,,,
Fastyr,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://fastyr.com,,,,,,,,
Cyclick,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://cyclick.com,,,,,,,,
CloudiDR,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
AtlasNova,Unknown,Berkeley SkyDeck,False,,0.7,https://atlasnova.ai,AtlasNova,,Restaurant solutions powered by AtlasNova AI,True,0.2,https://www.linkedin.com/company/atlasnova-ai/,,
ReneuBio,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.4,https://reneubio.com,Home | Reneubio Inc,salah.mahmoudi@reneubio.com,,,,,,
Waypoint AI,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://waypointai.com,,,,,,,,
Vanellus Technologies Ltd,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Vambe,Unknown,Berkeley SkyDeck,False,,0.8,https://vambe.ai,Vambe AI | Plataforma de IA para Empresas,contacto@vambeai.com,"Automatiza conversaciones, optimiza anuncios y conecta sistemas con IA. Miles de empresas confían en Vambe para crecer con inteligencia artificial.",False,0.0,https://www.linkedin.com/company/vambe/,,
Tutti,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://tutti.com,,,,,,,,
"TLR Therapeutics, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Techstack,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://techstack.com,TechStack Territories — Currently Sold Out | Join the Waitlist,,All TechStack territories from Wave 1 have been claimed. Join the priority waitlist to get first access when we open the next round of exclusive AI service territories for agency owners.,True,0.2,,,
