company,change,confidence,why
So-Net Media,no_ai_change,0.95,Descriptions are nearly identical; neither mentions AI/ML explicitly.
UFOstart,repackaged_to_ai,0.85,Pivoted from blockchain marketing services to AI-powered content creation platform
Insightness,no_ai_change,0.95,Descriptions identical; brain-inspired tech present in both years
Apollo Agriculture,born_ai,0.95,AI/ML core to product in both descriptions; current adds 'agtech' label
Area,repackaged_to_ai,0.85,Pivoted from generic 'technology company' to AI/ML-focused startup with specific offerings
SimplyPut,born_ai,0.95,Natural language questions (2021) evolved to AI conversations (now); core AI capability consistent
Less Everything,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Phase Change Software,born_ai,0.95,Descriptions identical; AI/ML core to product in both periods
nu.Education,repackaged_to_ai,0.75,Shifted from learning platform to AI-driven workflow automation for education
Acumino,repackaged_to_ai,0.85,Shifted from skill transfer programming to AI-trained robot models; core offering fundamentally changed
Nibble,repackaged_to_ai,0.85,Complete pivot from marketing/influencer apps to ML feature platform
Elium,added_ai_feature,0.75,AI mentioned in 2024 pitch; core KM offering unchanged since 2021
Future Ecommerce Ltd.,added_ai_feature,0.85,"Core platform unchanged; AI features (pricing, offers) layered on top."
BiometryCloud,born_ai,0.95,Facial recognition inherently AI/ML-based in both descriptions; no change detected
Dial Once,repackaged_to_ai,0.85,Core pivot from call digitization to AI-driven omnichannel chatbot orchestration
Marshmallow Studios,no_ai_change,0.95,Neither description mentions AI/ML. Rebranding emphasizes design and technology philosophy.
Pannacotta,no_ai_change,0.95,Neither description mentions AI/ML. Core offering unchanged: goal-calendar alignment.
1up,repackaged_to_ai,0.85,Shifted from competitive intelligence to RFP/questionnaire automation; AI remains core but use case narrowed.
Eveince,born_ai,0.95,"AI/ML central to both descriptions; evolution in sophistication and validation, not introduction."
Uplinq,no_ai_change,0.95,Descriptions identical; no AI/ML terminology in either version
Oak Ridge National Laboratory,no_ai_change,0.95,Neither description mentions AI/ML. Descriptions are nearly identical.
Pine,no_ai_change,0.95,"Neither description mentions AI/ML. Expansion is product scope, not AI."
Operant,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Tomorrow.io,added_ai_feature,0.85,Core weather forecasting unchanged; AI added for data translation and insights
Régens Zrt.,no_ai_change,0.95,Identical descriptions; AI/ML mentioned as research areas in both
Gapminder VC,added_ai_feature,0.85,"VC fund scope narrowed; AI listed among sectors, not core offering"
Hellas Direct,born_ai,0.95,Identical descriptions; AI core to both versions
Altscore,no_ai_change,0.85,Both describe lending infrastructure APIs; no AI/ML mentioned either time.
Memmzy,repackaged_to_ai,0.85,Pivoted from period product subscription to AI-driven reproductive health platform
Product People,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
iCover,no_ai_change,0.95,Descriptions are identical; algorithmic underwriting present in both
G2See,born_ai,0.95,Facial recognition inherently AI/ML-based in both descriptions; no change detected.
Dizigot,no_ai_change,0.95,Both descriptions identical; no AI/ML mentioned in either version
Kompanions,no_ai_change,0.95,Neither description mentions AI/ML. Focus remains AR/VR content creation.
Method 21,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
FreshCredit Inc.,no_ai_change,0.95,Neither description mentions AI/ML. Focus shifted from idealistic to practical.
Cultovo,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
KnoDAX,added_ai_feature,0.85,Core remains educational platform; AI/ML added to curriculum alongside other topics
Cognitee,no_ai_change,0.95,Descriptions identical; no AI/ML terminology in either version
