program_name,region,country,city,founded,investment_min,investment_max,currency,equity_pct_min,equity_pct_max,duration_months,focus_areas,website,portfolio_url,acceptance_rate,has_portfolio_page
Y Combinator,Global,USA,Mountain View CA,2005,500000,500000,USD,7,7,3,All sectors,https://www.ycombinator.com/,https://www.ycombinator.com/companies,1.5-2%,Yes
Techstars,Global,USA,Boulder CO,2006,120000,120000,USD,6,10,3,Industry-specific,https://www.techstars.com/,https://www.techstars.com/portfolio,<3%,Yes
500 Global,Global,USA,San Francisco,2010,150000,150000,USD,5,6,4,Emerging markets,https://500.co/,https://500.co/companies,,Yes
Antler,Global,Singapore,Singapore,2017,100000,250000,USD,9,13,6-12,Pre-seed all sectors,https://www.antler.co/,https://www.antler.co/portfolio,,Yes
Seedstars,Global,Switzerland,Geneva,2013,25000,500000,USD,Varies,Varies,Varies,Emerging markets,https://www.seedstars.com/,,,Yes
Endeavor,Global,USA,New York,1997,0,0,USD,0,0,0,Scale-up support,https://endeavor.org/,,,No
Google for Startups,Global,USA,Mountain View,Varies,0,200000,USD,0,0,Varies,Tech all sectors,https://startup.google.com/,,,No
Station F,Europe,France,Paris,2017,200000,500000,EUR,Varies,Varies,Varies,All sectors,https://stationf.co/,,,Yes
Seedcamp,Europe,UK,London,2007,100000,500000,GBP,7.5,10,4,All sectors esp SaaS fintech,https://seedcamp.com/,https://seedcamp.com/our-companies/,,Yes
Startupbootcamp,Europe,UK,London,2010,15000,15000,EUR,6,8,Varies,Industry-specific,https://www.startupbootcamp.org/,,,Yes
EIT Digital Accelerator,Europe,EU,Pan-European,2012,0,2500000,EUR,0,0,Varies,Deep tech,https://eitdigital.eu/,,,No
H-Farm,Europe,Italy,Venice,2005,100000,500000,EUR,Varies,Varies,Varies,Digital transformation,https://www.h-farm.com/en/,,,Yes
Sting,Europe,Sweden,Stockholm,2002,30000,30000,EUR,8,8,4,Deeptech software lifesciences,https://sting.co/,,,Yes
Rockstart,Europe,Netherlands,Amsterdam,2011,80000,150000,EUR,6,8,6,Emerging tech energy agrifood,https://www.rockstart.com/,,,Yes
Founder Institute,Global,USA,San Francisco,2009,0,0,USD,3.5,4.5,3.5-4,Idea to launch,https://fi.co/,,,No
Plug and Play,Global,USA,Sunnyvale CA,2006,Varies,Varies,USD,Varies,Varies,3,Industry-specific,https://www.plugandplaytechcenter.com/,https://www.plugandplaytechcenter.com/companies/,, Yes
Alchemist Accelerator,Global,USA,San Francisco,2012,Varies,Varies,USD,5,5,6,Enterprise B2B,https://alchemistaccelerator.com/,https://alchemistaccelerator.com/portfolio,,Yes
MassChallenge,Global,USA,Boston,2010,0,0,USD,0,0,4,Equity-free all sectors,https://masschallenge.org/,https://masschallenge.org/accelerator-portfolio,,3-5%,Yes
gener8tor,North America,USA,Madison WI,2012,100000,100000,USD,6,9,12,All sectors Midwest focus,https://www.gener8tor.com/,https://www.gener8tor.com/portfolio,,<5%,Yes
Capital Factory,North America,USA,Austin TX,2009,Varies,Varies,USD,Varies,Varies,Varies,Texas tech hub,https://www.capitalfactory.com/,https://www.capitalfactory.com/portfolio/,,Yes
ERA (Entrepreneur Roundtable),North America,USA,New York,2011,100000,100000,USD,Varies,Varies,4,B2B SaaS mobile,https://www.eranyc.com/,https://www.eranyc.com/portfolio,,<5%,Yes
Dreamit Ventures,North America,USA,Philadelphia,2008,50000,50000,USD,Varies,Varies,4,Healthtech securetech urbantech,https://dreamit.com/,https://dreamit.com/portfolio,,Yes
