university,startup_name,description,website,funding_stage,tags,location,is_ai_related,ai_confidence_score,source,cohort_year
Duke,Alumni Capital Partners,"Alumni Capital Partners is a financial technology platform that allows alumni to invest directly in their alma mater's critical infrastructure projects. By activating this  mission-aligned capital, we provide universities with a new financing solution and offer alumni a new way to build their legacy",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Anka,"Anka is where AI music becomes real music. We help AI artists build identities, grow fanbases, and launch careers, while giving listeners a platform to discover artists they'll actually follow.",,,,,True,0.2,Duke Startup Showcase,2026
Duke,AphasiaGPT,AphasiaGPT is an AI-powered language recovery platform that helps people with language disabilities practice communication daily - independently and alongside their Speech-Language Pathologists.,,,,,True,0.4,Duke Startup Showcase,2026
Duke,Avatar Training Portal,"Provide biomechanics data for athletes and sports programs to reduce injuries, get athletes back faster, and make training more efficient.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Ayin AI,"Ayin AI is a unified security, compliance, and cost management layer that sits between enterprises and their AI/LLM providers. Every AI request flows through our platform — scanned, governed, logged, and optimized — giving enterprises the confidence to deploy AI at scale without sacrificing security",,,,,True,0.55,Duke Startup Showcase,2026
Duke,Belridge Labs,"24/7 AI call center for home service businesses (starting with residential solar). Our AI picks up every phone call, qualifies customers, and books jobs directly into company CRMs, allowing business owners to unlock faster response times, higher conversion, and more booked revenue.",,,,,True,0.2,Duke Startup Showcase,2026
Duke,Selatan Capital,"Selatan Capital reduces near-term climate warming by capturing and destroying methane emissions from small-to-mid-scale landfills that are currently ignored by traditional gas recovery systems. We deliver low-cost, modular methane mitigation solutions that turn unmanaged emissions into verifiable ca",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Deep Marine Innovations,"Deep Marine Innovations (DMI) is developing a biomimetic, eel-like autonomous underwater vehicle designed for long-range, low-noise inspection, monitoring, and intervention in complex subsea environments. The company focuses on applications where traditional propeller-driven ROVs and AUVs are limite",,,,,True,0.2,Duke Startup Showcase,2026
Duke,The Land of Can,"The Land of Can produces world-class children's books and other resources that empower kids to realize that more is possible when they define themselves by their strengths, rather than by their deficits.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Girls in Quantum,"Girls in Quantum is a nonprofit building the next generation of quantum leaders by making frontier technologies accessible to young women worldwide through education, mentorship, and real world technical programs. We operate a global platform spanning 60 plus countries, turning early curiosity into ",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Grid Intelligence,"Grid Intelligence's mission is to build a predictive, location-aware coordination layer that converts high-frequency grid and market data into feasible, reliability-constrained storage actions, so distributed batteries can consistently (1) absorb localized surplus when prices collapse, (2) release e",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Helian,"Helian helps medical device companies manage the complex FDA regulatory requirements surrounding their product, making it faster and more affordable to bring medical innovations to market. Founded by three Duke students, Helian is driven by a mission to remove compliance as a barrier to impact, with",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Jeani,"Jeani is a movement intelligence and longevity company that transforms everyday motion into meaningful insight by removing fear and helping people understand, protect, and extend how their bodies move over a lifetime. Through integrated hardware and software, our true advantage is proprietary moveme",,,,,False,0.0,Duke Startup Showcase,2026
Duke,koPo,"The world’s largest fitness community. A one-stop app for exploration, learning, booking, and community.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Liberata,Open access academic publishing with incentivized quality controls.,,,,,False,0.0,Duke Startup Showcase,2026
Duke,Liv-Sanitas,"Liv-Sanitas is an outcomes-based liver health platform that stratifies risk for metabolic and alcoholic liver disease and provides high-risk individuals personalized action plans tailored to their motivations, circumstances, and cultural identity to improve liver health outcomes.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,MedPull,"MedPull is an AI-powered patient intake platform built for community health centers. We automate multilingual intake, insurance eligibility, and documentation using speech and handwriting recognition and conversational AI, reducing administrative burden and improving access to care for underserved p",,,,,True,0.6,Duke Startup Showcase,2026
Duke,momnt.,"momnt is a wristband that helps users manage their screen time by enforcing a daily “time bank” for distracting apps. Apps are locked by default and can only be unlocked by intentionally drawing time from the wristband, encouraging mindful and deliberate use.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Mr. Drop,"Mr. Drop is a handheld device that converts standard eye drops into a gentle mist, improving ease of use, dosing accuracy, and medication delivery. Designed to work with existing eye drop bottles, it reduces waste and cost while increasing accessibility for patients and animals.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,NanoPoly Resources,"NanoPoly Resources is a proprietary, bio-centered nanobead substrate which enables accelerated research into environmental and medical nanoplastic applications. Specifically, our solution uses a novel, reproducible workflow for generating environmentally relevant nanoplastics that capture the hetero",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Nowa,"nowa is a blockchain compliance platform for the digital asset ecosystem, recognized as the winner of the DTCC AI Hackathon, that detects money laundering behaviors across all tokens and chains. Grounded in proprietary research from our founders, we provide a universal ""Know Your Transaction"" (KYT) ",,,,,True,0.2,Duke Startup Showcase,2026
Duke,Pacto,"Pacto is a refreshing sunscreen made for golfers, keeping the grip dry so they can hit that one perfect shot-and stay out long enough to do it again.",,,,,False,0.0,Duke Startup Showcase,2026
Duke,Sand Intelligence,,,,,,False,0.0,Duke Startup Showcase,2026
