id,name,description,bucket,ref_label,ref_unsure,human_label,labeller
1306704,NeoSync (Massachusetts),"Developer of personalized therapies designed to treat major mental depressions. The company's therapies use Transcranial Magnetic Stimulation (TMS) which is a non-invasive form of brain stimulation that delivers low energy, alternating magnetic field stimulation in daily 30 minute sessions to gently adjust a depressed brain toward a more normal state, enabling patients to cure major depressive disorders and other diseases of the central nervous system quickly.",Commercial B,0.0,False,,
190006,Akeles Consulting,Akeles Consulting is a solutions provider specialized in delivering solutions using Atlassian software. nan,Commercial A,0.0,False,,
1617608,"Health Protection Research, Inc.",SBIR/STTR awardee (first award 2001). Project: DEVELOPMENT OF IMMUNO-PCR NEURODIAGNOSTIC KITS,Unlisted,0.0,False,,
1568212,skrikx,"Founder, Architect of SROS — an open, inspectable AI operating system for multi-agent workflows. Building sovereign tech, transparent systems, and high-level a",Unlisted,1.0,False,,
1488882,Finhaus Financial Solutions,"Provider of financial services headquartered in Bellville, South Africa. The company offers a range of services including risk planning, investment planning, retirement planning, wills and estate planning, business financial planning, and more.",Commercial B,0.0,False,,
1621641,Apex Orthopaedic Technologies Llc,SBIR/STTR awardee (first award 2022). Project: R-FIX (Rib-FIXation System) for Severe Progressive Spinal Deformity,Unlisted,0.0,False,,
1529789,The APP Company,"Operator of a mobile design and development company intended to offer digital product development for mobile and unity-based applications. The company platform allows businesses to create mobile apps with no coding experience, enabling businesses with reliable technology to better their systems. enabling businesses with reliable technology to better their systems.",Commercial B,0.0,False,,
8173,MedEngine,"Helping people with Parkinson's track their symptoms and optimize their treatments with Flytta, our wearable and app combination. #medtech #software #hardware",Unlisted,0.0,False,,
256246,Infolastic,"Infolastic creates, optimizes, maintains, evolves and trains on Salesforce.com solutions. nan",Commercial A,0.0,False,,
1529774,Camp Arrow Wood,"Operator of sports camp intended to provide intentional programming to athletes and non-athletes. The company offers structured programming sports-centric camp over the summer and also have the opportunities to explore traditional camps, enabling campers to explore their passion in every aspect of the sports world.",Commercial B,0.0,False,,
179374,Cybertek Networks,Cybertek Networks delivers proactive maintenance services through our flat-rate IT support service. nan,Commercial A,0.0,False,,
1584659,dreadnode,"Hugging Face organization — 0 models, 14 followers Twitter: https://twitter.com/dreadnode",Unlisted,0.0,True,,
1576358,rodrigooler,"A blockchain network that uses mathematical proof of inference quality to replace human validators in decentralized AI systems, eliminating the oracle problem through parallel cognitive architectures and zero-knowledge verification.",Unlisted,1.0,False,,
1388996,Lyve (Italy),Provider of educational and training services catering to the insurance and financial service industry. The company offers organizations to develop sustainable consulting and training projects.,Commercial B,0.0,False,,
1464900,Pretio Interactive,"Operator of a marketing company intended to connect brands to consumers across their digital lives. The company engages with hundreds of thousands of consumers across proprietary brands and websites and collects unique insights into who consumers are, what they are shopping for, and their interests, enabling clients to connect with the right consumer at the right moment and drive measurable results.",Commercial B,1.0,False,,
1429238,Everyday Health,"Operator of a digital information company intended for health education purposes. The company offers reviewed health articles, interactive tools for symptom checking and health tracking, data analytics, and educational materials, along with community forums and resource libraries, enabling healthcare consumers and professionals to access evidence-based information and engage in informed discussion regarding health management.",Commercial B,0.0,False,,
1623080,"Applied Lifesciences & Systems, Llc",SBIR/STTR awardee (first award 2016). Project: SBIR Phase I:  Innovative High Throughput Automated System for Individualized Poultry Vaccination and Recognition and Removal of Unhealthy Chicks,Unlisted,0.0,False,,
1325704,United Games Marketing,"Developer of a mobile-based gaming application based in Murray, Utah. The company's application provides gaming products and software from a variety of genres such as action, adventure, strategy and fun.",Commercial B,0.0,False,,
