startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
Deel,The all-in-one HR and payroll platform for global teams,https://www.deel.com/,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,5000.0,,,,,Y Combinator,False,0.0,
Nowports,The core engine of supply chain in LATAM,https://nowports.com/,,,Winter 2019,,Y Combinator,550.0,,,,,Y Combinator,False,0.0,
JuziBot,"Intercom for WeChat, help companies to acquire,  engage, retain…",https://www.juzibot.com/,,"Beijing, Beijing, China",Winter 2019,,Y Combinator,34.0,,,,,Y Combinator,False,0.0,
Shef,Shef is a Marketplace for Homemade Food,https://www.shef.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,70.0,,,,,Y Combinator,False,0.0,
Schoolable,Tuition collection service for K-12 private schools in Africa,http://schoolable.co,,"Lagos, LA, Nigeria; LA, Nigeria",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Shipper,Southeast Asia’s e-commerce logistics and enablement platform,https://shipper.id,,"Jakarta, Jakarta, Indonesia",Winter 2019,,Y Combinator,600.0,,,,,Y Combinator,False,0.0,
Buy Me a Coffee,Helping creators monetize,https://www.buymeacoffee.com/,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Eclipse Foods,"Eclipse Foods is building the future of dairy using micelles, the…",http://www.eclipsefoods.com,,"Oakland, CA, USA",Winter 2019,,Y Combinator,,,,,,Y Combinator,False,0.0,
YourChoice Therapeutics,YourChoice therapeutics is revolutionizing the contraceptive market…,http://ychoicetx.com,,"Berkeley, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Taali Inc,Taali is creating popcorn 2.0 from popped water lily seeds,https://www.taalifoods.com/,,"New York, NY, USA",Winter 2019,,Y Combinator,0.0,,,,,Y Combinator,False,0.0,
NaturAll Club,Frozen beauty products.,http://naturallclub.com,,"Philadelphia, PA, USA",Winter 2019,,Y Combinator,17.0,,,,,Y Combinator,False,0.0,
Atlas,Modern spend management & concierge.,https://atlascard.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,25.0,,,,,Y Combinator,False,0.0,
rct AI,build AI NPCs,http://rct.ai,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,40.0,,,,,Y Combinator,True,0.2,
Numero,Modern fundraising software for political campaigns and nonprofits.,https://www.numero.ai,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,15.0,,,,,Y Combinator,False,0.0,
Prometheus,We use solar and wind power to make zero net carbon electrofuels,http://www.prometheusfuels.com,,"Santa Cruz, CA, USA",Winter 2019,,Y Combinator,25.0,,,,,Y Combinator,False,0.0,
1910,Multimodal AI Platform for Modality Agnostic Drug Discovery™,http://1910.ai,,"Boston, MA, USA",Winter 2019,,Y Combinator,20.0,,,,,Y Combinator,True,0.4,
"OutRival, Inc.",AI Agents for Admissions Teams in Higher Education,https://outrival.com/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,True,0.2,
Truora,Reliable background checks & fraud prevention tools for Latin America.,https://www.truora.com/,,"Cali, Valle del Cauca, Colombia",Winter 2019,,Y Combinator,80.0,,,,,Y Combinator,False,0.0,
Pools (fka Withfriends),Pools is a memberships platform for event organizers,https://pools.events,,"New York, NY, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Cosmic,Cosmic is a headless CMS and API toolkit,https://www.cosmicjs.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
FIRST,The best way for any business to offer delivery. ,https://firstdelivery.com/,,"Philadelphia, PA, USA; Remote",Winter 2019,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Verto,Cross-Border Payments and FX Simplified,http://www.vertofx.com,,"London, England, United Kingdom",Winter 2019,,Y Combinator,170.0,,,,,Y Combinator,False,0.0,
Latchel,24/7 emergency maintenance department for property managers and…,http://latchel.com,,"Seattle, WA, USA; Remote",Winter 2019,,Y Combinator,,,,,,Y Combinator,False,0.0,
Inito,Enabling better self care with at-home hormone tracking.,https://www.inito.com/,,"Bengaluru, KA, India",Winter 2019,,Y Combinator,100.0,,,,,Y Combinator,False,0.0,
Globe,coinbase for derivatives,https://globe.exchange,,Seychelles; Remote,Winter 2019,,Y Combinator,20.0,,,,,Y Combinator,False,0.0,
VotingWorks,Non-profit building open-source voting machines for US elections.,https://voting.works,,"CA, USA; Remote",Winter 2019,,Y Combinator,18.0,,,,,Y Combinator,False,0.0,
Mars Auto,Autonomous trucks to fully automate long-haul freight shipping,https://marsauto.com,,"Seoul, South Korea",Winter 2019,,Y Combinator,15.0,,,,,Y Combinator,True,0.2,
Dockup,On demand ephemeral environments to run manual and automated tests.,https://getdockup.com/,,"Mountain View, CA, USA",Winter 2019,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Rune,Talk & play multiplayer games with your friends!,http://rune.ai,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
