university,startup_name,description,website,funding_usd,funding_stage,categories,founded,city,country,is_ai_related,ai_confidence_score,tags,location,source,cohort_year,enriched_from
Stanford (StartX),1Bstories,"1Bstories provides content creators with full ownership and control over distribution, monetization, and analytics in chat & web.",http://1bstories.com,5500000.0,,"Apps,Artificial Intelligence (AI),Video",2021-01-01,Singapore,SGP,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),1Climate,Cutting through regulatory hurdles in pursuit of a clean energy future.,https://1climate.app/,nan,,"Clean Energy,CleanTech,Electric Vehicle,SaaS,Solar",2023-02-01,New York,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),1upLogo,,,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),2rblogo,,http://www.2redbeans.com/en/chinese-dating/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),3YOURMIND,"Automation software to manage additive manufacturing part selection, ordering and production workflows for Industry 4.0.",http://3yourmind.com/,27359690.0,,"3D Printing,3D Technology,Enterprise Software,Industrial Manufacturing,Manufacturing,Software",2014-01-01,Berlin,DEU,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),AccuraGen,"Developer of a liquid biopsy technology designed to facilitate personalized cancer treatment. The company's technology circulates deoxyribonucleic acid from blood samples for cancer molecular diagnosis, enabling oncologists and clinicians to access sequencing-based cancer mutations.",http://www.accuragen.com/,46.9,Venture Capital-Backed,Healthcare,2013.0,San Jose,United States,False,0.0,,,StartX,,PitchBook
Stanford (StartX),Advent FA,,http://adventaccess.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),AerialIntel,,http://www.aerialintel.com/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),aether,"Aether develops thinking devices that integrate hardware, software, and services into intuitive electronics.",https://www.aetherbiomedical.com,nan,,"Electronics,Music,Software,Wireless",2012-01-01,San Francisco,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),afresh,Afresh is an AI-powered company selling software to track demand and manage orders for fresh produce in grocery stores.,http://afreshtechnologies.com/,147790000.0,,"Agriculture,Artificial Intelligence (AI),Food and Beverage,Logistics,Machine Learning,Software,Supply Chain Management",2017-04-01,Oakland,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),Agathos,"Agathos helps hospitals optimize length of stay and resource utilization by engaging physicians with individualized, and actionable data.",https://www.agathos.io,8464996.0,,"Health Care,Information Technology",2015-11-01,San Francisco,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),AgriWebb,"AgriWebb is a farm and livestock app that helps livestock producers with record keeping, compliance, and productivity.",http://www.agriwebb.com/,50505692.0,,"Enterprise Software,Livestock,SaaS,Software",2013-04-01,Sydney,AUS,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),Logo 1,,,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),AiFi,"AIFI promote, develop and represent institutionally the venture capital and private equity activity in Italy.",http://www.aifi.com,nan,,"Banking,Finance,Financial Services,Venture Capital",1986-01-01,Milan,ITA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),AKOYA Bio R,,http://www.akoyabio.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Alariss,"Provider of employment services intended to help companies build their local sales and business development teams. The company leverages US networks and AI curation to match global companies' talent and provides the option for EOR (Employer of Record) services for taking care of payroll and legal compliance, enabling global technology companies to expand into the US and Americans to have global careers.",https://www.alariss.com/,nan,Venture Capital-Backed,Business Products and Services (B2B),2017.0,San Francisco,United States,False,0.0,,,StartX,,PitchBook
Stanford (StartX),alation 01 5,,https://alation.com/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Alchemy WorkInTech,,https://www.alchemynano.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),DTL,"DTL offers web design, programming, and hosting services.",https://alchemy.com,nan,,"Information Technology,Web Design,Web Hosting",nan,New York,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),Sentinel RGB,,http://www.alertive.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Alesca Life,Alesca Life Technologies creates next-generation urban farming solutions using advanced software technology.,https://www.alescalife.com/,116008.0,,"Agriculture,AgTech,Farming,Food Processing,IT Infrastructure,Software",2013-01-01,Beijing,CHN,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),ALICE,ALICE connects every department of a hotel with one platform for all staff communication and guest requests.,http://alicetechnologies.com/,39000000.0,,"Hospitality,Housekeeping Service,Mobile,Service Industry,Software",2013-01-01,New York,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),AC large,,https://www.alignedcarbon.com/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Logo 04,,http://www.alixia.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Allday stacked,,https://sprayalldayenergy.com/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Ambient,Ambient is an Australian company devoted to environmental mapping of our major cities and regions.,http://ambient.ai/,nan,,Mapping Services,2017-01-01,Sydney,AUS,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),amigocloud,"AmigoCloud is a geospatial platform that helps you collect, manage, analyze, visualize, and publish your location data.",https://www.amigocloud.com/homepage/index,771835.0,,"Geospatial,GovTech,Information Technology,Location Based Services,Software",2011-01-01,San Francisco,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),Ampervue,AmperVue creates professional highlights clips from your full-length game video using our fully automated AI software.,http://www.ampervue.com,nan,,"Artificial Intelligence (AI),Consumer,Video",2015-01-01,Los Altos,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),LOGO 1MB,,,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),anchorzero,AnchorZero enables entrepreneurs to use Roth IRAs for tax breaks and financial success.,https://www.anchorzero.com,8000000.0,,"Financial Services,FinTech,Information Services,Tax Consulting",2021-01-01,Hoboken,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),logo Andromeda Surgical 2,,http://andromedasurgical.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Angaza Thick,,http://www.angazadesign.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Logo,LOGO/MTV is the website that lists all of the shows and programs that play on the LOGO TV network.,http://www.anifie.com,nan,,"Advertising,Internet",2005-06-30,Los Angeles,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),Text black,,,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),logo Apostle L,,http://apostlebio.com,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),pm,A blog,https://appfluence.com/,nan,,"Journalism,Media and Entertainment",2012-02-03,nan,nan,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),apptimize,Apptimize lets mobile teams increase revenue and engagement by iterating faster and smarter.,https://www.apptimize.com,18620000.0,,"A/B Testing,Analytics,Enterprise Software,Mobile,SaaS",2013-01-01,San Francisco,USA,False,0.0,,,StartX,,Crunchbase
Stanford (StartX),apstem,,https://www.apstemtx.com/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),cedar blue with moon,,https://arboreal.ai/,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),archtype blue,,https://archsys.io,,,,,,,False,0.0,,,StartX,,
Stanford (StartX),Arialogo,,https://ariapharmaceuticals.com/,,,,,,,False,0.0,,,StartX,,
